Queue;StartInterval;EndInterval;Contacts abandoned in 20 seconds;Contacts abandoned in 30 seconds;Contacts abandoned in 45 seconds;Contacts abandoned in 60 seconds;Contacts abandoned in 90 seconds;Contacts abandoned in 180 seconds;Contacts answered in 20 seconds;Contacts answered in 30 seconds;Contacts answered in 45 seconds;Contacts answered in 60 seconds;Contacts answered in 90 seconds;Contacts answered in 180 seconds;Service level 60 seconds;Service level 120 seconds;Agent interaction time;API contacts;API contacts handled;Average agent interaction time;Average customer hold time;Average handle time;Average queue abandon time;Average queue answer time;Callback contacts;Callback contacts handled;Contacts abandoned;Contacts handled incoming;Contacts handled outbound;Contacts put on hold;Contacts queued;Contacts abandoned 40 seconds;Contacts answered 40 seconds
Benelux_Dutch_Queue;2026-02-02T11:00:00.000+01:00;2026-02-02T11:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;2;;;2;;528;;2;;;;1;;;1;;1
Benelux_Dutch_Queue;2026-02-03T09:30:00.000+01:00;2026-02-03T10:00:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;3;;;3;;17;;2;;;;1;;;1;;1
Benelux_ENG_Queue;2026-02-02T11:00:00.000+01:00;2026-02-02T11:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;3;;;3;;4;;1;;;;1;;;1;;1
Benelux_ENG_Queue;2026-02-03T09:30:00.000+01:00;2026-02-03T10:00:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;1;;;1;;2;;2;;;;1;;;1;;1
Benelux_French_Queue;2026-02-02T11:00:00.000+01:00;2026-02-02T11:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;3;;;3;;4;;1;;;;1;;;1;;1
Benelux_French_Queue;2026-02-03T09:30:00.000+01:00;2026-02-03T10:00:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;2;;;2;;3;;1;;;;1;;;1;;1
EL Store ARB;2026-02-02T11:00:00.000+01:00;2026-02-02T11:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;1556;;;1556;;1557;;2;;;;1;;;1;;1
EL Store DE;2026-02-01T16:30:00.000+01:00;2026-02-01T17:00:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;165;;;165;;166;;2;;;;1;;;1;;1
EL Store DE;2026-02-02T09:00:00.000+01:00;2026-02-02T09:30:00.000+01:00;;;;;;;;;;;;;;;2;;;2;;3;;;;;;;1;;;;
EL Store DE;2026-02-02T09:30:00.000+01:00;2026-02-02T10:00:00.000+01:00;;;;;;;;;;;;;;;99;;;99;;100;;;;;;;1;;;;
EL Store DE;2026-02-02T10:00:00.000+01:00;2026-02-02T10:30:00.000+01:00;;;;;;;;;;;;;;;1182;;;147;;148;;;;;;;8;;;;
EL Store DE;2026-02-02T10:30:00.000+01:00;2026-02-02T11:00:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;363;;;181;;182;;1;;;;1;1;;1;;1
EL Store DE;2026-02-02T11:00:00.000+01:00;2026-02-02T11:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;264;;;264;;265;;1;;;;1;;;1;;1
EL Store DE;2026-02-02T11:30:00.000+01:00;2026-02-02T12:00:00.000+01:00;;;;;;;;;;;;;;;347;;;173;;174;;;;;;;2;;;;
EL Store DE;2026-02-02T12:00:00.000+01:00;2026-02-02T12:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;1588;;;317;;318;;1;;;;1;4;;1;;1
EL Store DE;2026-02-02T12:30:00.000+01:00;2026-02-02T13:00:00.000+01:00;;;;;;;;;;;;;;;657;;;328;;329;;;;;;;2;;;;
EL Store DE;2026-02-02T13:00:00.000+01:00;2026-02-02T13:30:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;253;;;126;;127;;1;;;;1;1;;1;;1
EL Store DE;2026-02-02T13:30:00.000+01:00;2026-02-02T14:00:00.000+01:00;;;;;;;;;;;;;;;26;;;6;;7;;;;;;;4;;;;
EL Store DE;2026-02-02T14:00:00.000+01:00;2026-02-02T14:30:00.000+01:00;;;;;;;;;;;;;;;1558;;;1558;;1559;;;;;;;1;;;;
EL Store DE;2026-02-02T14:30:00.000+01:00;2026-02-02T15:00:00.000+01:00;;;;;;;;;;;;;;;321;;;40;;41;;;;;;;8;;;;
EL Store DE;2026-02-02T15:00:00.000+01:00;2026-02-02T15:30:00.000+01:00;;;;;;;;;;;;;;;103;;;51;;52;;;;;;;2;;;;
EL Store DE;2026-02-02T15:30:00.000+01:00;2026-02-02T16:00:00.000+01:00;;;;;;;;;;;;;;;65;;;65;;66;;;;;;;1;;;;
EL Store DE;2026-02-02T16:00:00.000+01:00;2026-02-02T16:30:00.000+01:00;;;;;;;;;;;;;;;125;;;62;;63;;;;;;;2;;;;
EL Store DE;2026-02-02T16:30:00.000+01:00;2026-02-02T17:00:00.000+01:00;;;;;;;;;;;;;;;10;;;5;;6;;;;;;;2;;;;
EL Store DE;2026-02-02T17:00:00.000+01:00;2026-02-02T17:30:00.000+01:00;;;;;;;;;;;;;;;271;;;135;;136;;;;;;;2;;;;
EL Store DE;2026-02-02T17:30:00.000+01:00;2026-02-02T18:00:00.000+01:00;;;;;;;1;1;1;1;1;1;100.00%;100.00%;314;;;157;;158;;2;;;;1;1;;1;;1
