"inc_number","inc_assignment_group","inc_opened_at","inc_cmdb_ci","inc_short_description","taskslatable_has_breached","inc_u_escalation_reason"
"INC0869483","SC_ALL_L2_WKS","17/03/2026 09:41:00","OneDrive 365","WFH - onenote - Unable to open  OneNote files in OneDrive","false","Assigned for Resolution"
"INC0865153","SC_ALL_L2_WKS","05/03/2026 11:21:24","PXY Zscaler","Pas d'accès à zscaler et blocage de tous les accès internet","false","Assigned for Resolution"
"INC0879584","SC_ALL_L2_WKS","13/04/2026 11:14:36","VDI","No access","false","Assigned for Resolution"
"INC0875396","SC_ALL_L2_WKS","31/03/2026 17:05:48","VPN Check Point","I can't start VPN Checkpoint on my laptop","false","Assigned for Resolution"
"INC0883056","SC_ALL_L2_GAM","21/04/2026 15:18:31","Teams","Impossible de connecter le compte de la salle de réunion <FR5 DR2 D3 30 1 6P (SALLE D286 - VISIO) au Roompanel ","false","Assigned for Resolution"
"INC0870447","SC_ALL_L1_SDK","18/03/2026 19:29:02","Edge","Certificate expired when trying to access webpage","false","Assigned for Resolution"
"INC0861930","SC_ALL_L2_WKS","25/02/2026 16:41:02","Outlook 365","Problème de rétention de mail - email disparu ","true","Assigned for Resolution"
"INC0869822","SC_ALL_L1_SDK","17/03/2026 16:42:20","Edge","Saclay - Chrome - user needs chrome reinstalled ","false","Assigned for Resolution"
"INC0883303","SC_ALL_L2_WKS","22/04/2026 09:46:38","Edge","MS administration center URL not reachable","false","Assigned for Resolution"
"INC0870444","SC_ALL_L1_SDK","18/03/2026 19:18:59","Edge","Certificate expired when trying to access APIF webpage","false","Assigned for Resolution"
"INC0867846","SC_ALL_L1_SDK","12/03/2026 12:12:00","OneDrive 365","WFH-onedrive-Synchronization issue","false","Assigned for Resolution"
"INC0874474","SC_ALL_L2_GAM","30/03/2026 05:26:15","Windows Account","can't access with meeting room. also can't find the PW ","false","Assigned for Resolution"
"INC0870985","SC_ALL_L1_SDK","19/03/2026 20:36:12","OneDrive 365","One drive has stopped working, cashing and not syncing","false","Assigned for Resolution"
"INC0848011","SC_ALL_L1_SDK","21/01/2026 09:47:14","Outlook 365","WFH-outlook- user can't book meeting in shared calender","false","Assigned for Resolution"
