Queue name,Desk,account,Timeframe BH,Timeframe OOH,SLA answered,abd rate,autre SLA,Target Ans rate,Target Abd rate,Target autre SLA
Basrah Gas EN,Basrah Gas EN,Basrah Gas EN,60,60,SLA1,Abd2,,,,
ConnectChat_GF_German,GF_chat Ger,GF,20,20,SLA2,Abd3,,0.8,0.05,
ConnectChat_GF_Italian,GF_chat ITA,GF,20,20,SLA2,Abd3,,0.8,0.05,
ConnectChat_GF_VIP,GF_chat VIP,GF,20,20,SLA2,Abd3,,0.8,0.05,
DXC Brazil,DXC PT,DXC IT,60,60,SLA2,Abd2,,0.7,0.05,
DXC France,DXC FR,DXC IT,60,60,SLA2,Abd2,,0.7,0.05,
GF German,GF_Ger,GF,20,20,SLA2,Abd3,,0.8,0.05,
GF German CBA,GF_Ger,GF,20,20,SLA2,Abd3,,0.8,0.05,
GF German VIP,GF_Ger,GF,20,20,SLA2,Abd3,,0.8,0.05,
GF Italian,GF_Ita,GF,20,20,SLA2,Abd3,,0.8,0.05,
GF Italian CBA,GF_Ita,GF,20,20,SLA2,Abd3,,0.8,0.05,
GF Italian VIP,GF_Ita,GF,20,20,SLA2,Abd3,,0.8,0.05,
HPE Brazil,HPE PT,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE France,HPE FR,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Aruba VIA,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Axis Atmos,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Bitlocker,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish BYOD,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Default,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish DIREC,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish EXEC,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Microsoft Teams,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish NT PW Reset,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish PC HW Issues,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish PC NW Issues,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish PC SW Issues,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish PING ID,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish PREM,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Pulse VPN,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Virtual Digital Badge,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Windows,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
HPE Spanish Workforce OKTA,HPE SP,HPE,30,30,SLA2,Abd2,,0.9,0.03,
EL Store ARB,Luxottica ARA,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store DE,Luxottica Ger,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store EN,Luxottica Eng,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store ES,Luxottica SP,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store FR,Luxottica FR,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store IT,Luxottica IT,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store PT,Luxottica Por,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
EL Store TR,Luxottica TR,Luxottica,30,30,SLA3,Abd5,,0.9,0.95,
Nestle DE CBA,Nestle DE,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle DE Other,Nestle DE,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle DE PW,Nestle DE,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle DE Status,Nestle DE,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle ES CBA,Nestle ES,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle ES Other,Nestle ES,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle ES PW,Nestle ES,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle ES Status,Nestle ES,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle FR CBA,Nestle FR,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle FR Other,Nestle FR,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle FR PW,Nestle FR,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle FR Status,Nestle FR,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle NL CBA,Nestle NL,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle NL Other,Nestle NL,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle NL PW,Nestle NL,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle NL Status,Nestle NL,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle PT CBA,Nestle Por,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle PT NB,Nestle Por,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle PT Other,Nestle Por,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nestle PT PW,Nestle Por,Nestle,30,30,SLA1(30sec),SLA1(45sec),SLA1(90sec),0.91,0.85,0.9
Nissan DE,Nissan Ger,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR DU Opt 1,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR DU Opt 2,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR FR Existing,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR FR New,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR IT Existing,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR IT New,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR SP Existing,Nissan Sp,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DLR SP New,Nissan Sp,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DU OF 1,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DU OF 2,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DU SHFL 1,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DU SHFL 2,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR App,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR Existing,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR HW,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR Other,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR PW,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR VIP,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT App,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT Existing,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT HW,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
